Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
325	8	0	0.8125	160628.033	146723.553	115868.1	162381.612	43930.0907	0	0	608180	0	0	3
330	8	0	0.825	160355.839	147056.048	115868.1	162381.612	44262.5855	0	0	612574	0	0	3
335	8	0	0.8375	160178.343	148831.135	124376.072	162381.612	38005.5394	0	0	616815	0	0	3
340	8	0	0.85	160063.4	149723.318	127737.844	162381.612	34643.7673	0	0	620960	0	0	3
345	8	0	0.8625	160108.142	150532.576	130334.853	162381.612	32046.7589	0	0	625017	0	0	3
350	8	0	0.875	160365.33	151283.337	132202.401	162381.612	30179.2103	0	0	628961	0	0	3
355	9	0	0.8875	160697.795	151512.958	132202.401	162381.612	30179.2103	0	0	632794	0	0	3
360	9	0	0.9	161106.017	152683.814	134647.841	162381.612	27733.771	0	0	636523	0	0	3
365	9	0	0.9125	161779.353	153362.102	135578.582	162381.612	26803.0295	0	0	640164	0	0	3
370	9	0	0.925	162530.331	154035.895	135851.574	162530.331	26678.7565	0	0	643730	0	0	3
375	9	0	0.9375	163426.753	154725.275	136614.667	163426.753	26812.0854	0	0	647236	0	0	3
380	9	0	0.95	164455.862	154962.606	136614.667	164455.862	27841.1947	0	0	650697	0	0	3
385	9	0	0.9625	165564.149	156121.837	138739.128	165564.149	26825.0213	0	0	654123	0	0	3
390	9	0	0.975	166707.029	156821.035	139997.756	166707.029	26709.2732	0	0	657514	0	0	3
395	10	0	0.9875	167878.619	157518.056	141212.751	167878.619	26665.8675	0	0	660863	0	0	3
400	10	0	1	169120.155	158215.741	142342.529	169120.155	26777.6256	10169.2732	37.9	664162	0	0	3
405	10	0	1.0125	170249.944	158913.427	143298.858	170249.944	26951.0865	10338.7416	38.3	667411	0	0	3
410	10	0	1.025	171334.785	159216.387	143298.858	171334.785	28035.9271	10420.1047	37.1	670614	0	0	3
415	10	0	1.0375	172471.622	160343.507	144414.431	172471.622	28057.1911	10504.0675	37.4	673773	0	0	3
420	10	0	1.05	173575.062	161072.522	145597.054	173575.062	27978.0079	10587.428	37.8	676888	0	0	3
425	10	0	1.0625	174694.076	161799.948	147216.533	174694.076	27477.5427	10671.0147	38.8	679960	0	0	3
430	10	0	1.075	175924.661	162517.651	149185.876	175924.661	26738.7848	10757.5037	40.2	682995	0	0	3
435	11	0	1.0875	177185.154	162875.395	149185.876	177185.154	27999.2786	10846.2922	38.7	685982	0	0	3
440	11	0	1.1	178590.302	163900.648	152941.487	178590.302	25648.8149	10939.2301	42.6	688916	0	0	3
445	11	0	1.1125	180178.227	164581.566	153912.271	180178.227	26265.9556	11037.9805	42	691804	0	0	3
450	11	0	1.125	181492.486	165271.072	155355.913	181492.486	26136.5729	11136.6948	42.6	694662	0	0	3
455	11	0	1.1375	182851.543	165958.462	157804.475	182851.543	25047.0674	11235.9936	44.8	697496	0	0	3
460	11	0	1.15	184237.345	166404.289	157804.475	184237.345	26432.8692	11336.0651	42.8	700301	0	0	3
465	11	0	1.1625	185635.101	167269.526	160063.4	185635.101	25571.7008	11436.8689	44.7	703073	0	0	3
470	11	0	1.175	186940.286	167929.877	160063.4	186940.286	26876.886	11537.2561	42.9	705809	0	0	3
475	11	0	1.1875	188202.923	168620.43	160063.4	188202.923	28139.523	11636.8832	41.3	708511	0	0	3
480	12	0	1.2	189644.88	169334.041	160063.4	189644.88	29581.4799	11737.565	39.6	711176	0	0	3
485	12	0	1.2125	191010.243	169862.729	160063.4	191010.243	30946.8431	11838.4493	38.2	713805	0	0	3
490	12	0	1.225	192002.477	170831.063	160063.4	192002.477	31939.0771	11936.117	37.3	716394	0	0	3
495	12	0	1.2375	193002.201	171600.121	160063.4	193002.201	31899.3739	12030.5656	37.7	719018	0	0	3
500	12	0	1.25	194007.268	172392.462	160063.4	194007.268	32138.5232	12120.6748	37.7	722250	0	0	3
505	12	0	1.2625	194956.545	173206.835	160063.4	194956.545	30501.5315	12203.1689	40	725617	0	0	3
510	12	0	1.275	195890.118	173760.086	160063.4	195890.118	31054.7824	12284.5287	39.5	728858	0	0	3
515	12	0	1.2875	196906.024	174923.192	160063.4	196906.024	29433.1186	12335.2248	41.9	731927	0	0	3
520	13	0	1.3	198024.257	175849.317	160063.4	198024.257	29125.7637	12363.3535	42.4	734834	0	0	3
525	13	0	1.3125	199132.154	176811.92	160063.4	199132.154	29755.8719	12368.4036	41.5	737589	0	0	3
530	13	0	1.325	200120.158	177806.028	160063.4	200120.158	28974.8932	12352.8343	42.6	740262	0	0	3
535	13	0	1.3375	201021.375	178372.256	160063.4	201021.375	29541.1212	12343.425	41.7	742904	0	0	3
540	13	0	1.35	201932.445	179873.83	160108.142	201932.445	29341.2544	12300.0594	41.9	745465	0	0	3
545	13	0	1.3625	202984.546	180945.74	160365.33	202984.546	29662.4026	12251.6937	41.3	747900	0	0	3
550	13	0	1.375	204129.409	182039.842	160697.795	204129.409	30526.8837	12202.939	39.9	750201	0	0	3
555	13	0	1.3875	205359.379	183156.382	161106.017	205359.379	30472.5679	12156.604	39.8	752412	0	0	3
560	13	0	1.4	206464.407	183724.87	161106.017	206464.407	31041.0563	12118.3447	39	754514	0	0	3
565	14	0	1.4125	207550.07	185434.609	162530.331	207550.07	31398.714	12078.2652	38.4	756578	0	0	3
570	14	0	1.425	208816.7	186591.769	163426.753	208816.7	31866.4938	12044.9271	37.7	758631	0	0	3
575	14	0	1.4375	210068.027	187757.8	164455.862	210068.027	32795.1942	12015.5865	36.6	760637	0	0	3
580	14	0	1.45	211369.251	188930.635	165564.149	211369.251	32808.798	11989.4302	36.5	762613	0	0	3
585	14	0	1.4625	212689.888	189510.129	165564.149	212689.888	33388.292	11970.0417	35.8	764574	0	0	3
590	14	0	1.475	213985.74	191290.746	167878.619	213985.74	33772.6901	11947.0984	35.3	766530	0	0	3
595	14	0	1.4875	215457.388	192480.216	169120.155	215457.388	34264.4743	11926.3188	34.8	768447	0	0	3
600	14	0	1.5	217066.58	193678.876	170249.944	217066.58	34765.4495	11908.3761	34.2	770320	0	0	3
605	15	0	1.5125	218604.603	194887.743	171334.785	218604.603	35671.3561	11893.4367	33.3	772164	0	0	3
610	15	0	1.525	220119.779	196107.368	172471.622	220119.779	35763.8609	11884.6201	33.2	773991	0	0	3
615	15	0	1.5375	221681.528	197337.615	173575.062	221681.528	36265.0928	11877.7699	32.7	775796	0	0	3
620	15	0	1.55	223249.443	198579.475	174694.076	223249.443	36779.5268	11872.5447	32.2	777578	0	0	3
625	15	0	1.5625	224891.48	199834.41	175924.661	224891.48	37316.7587	11867.6268	31.8	779349	0	0	3
630	15	0	1.575	226589.065	201101.02	177185.154	226589.065	38225.6249	11862.0366	31	781113	0	0	3
635	15	0	1.5875	228314.457	202379.252	178590.302	228314.457	38478.6047	11862.1909	30.8	782821	0	0	3
640	15	0	1.6	230109.644	203667.236	180178.227	230109.644	39085.6697	11856.2124	30.3	784179	0	0	3
645	16	0	1.6125	231982.561	204962.344	181492.486	231982.561	39691.2727	11853.2396	29.8	785920	0	0	3
650	16	0	1.625	233826.516	206270.695	182851.543	233826.516	40312.2327	11851.5866	29.3	787620	0	0	3
655	16	0	1.6375	235568.021	207588.607	184237.345	235568.021	41184.3183	11847.9189	28.7	789150	0	0	3
660	16	0	1.65	236996.781	208907.593	185635.101	236996.781	41638.0668	11848.5136	28.4	790659	0	0	3
665	16	0	1.6625	238156.161	210220.62	186940.286	238156.161	42290.7428	11845.974	28	792120	0	0	3
670	16	0	1.675	239633.683	211537.954	188202.923	239633.683	42917.5241	11847.6327	27.6	793676	0	0	3
675	16	0	1.6875	242106.573	212885.546	189644.88	242106.573	43551.5049	11855.9753	27.2	795293	0	0	3
680	16	0	1.7	245480.602	214281.439	191010.243	245480.602	44418.7101	11873.0575	26.7	797149	0	0	3
685	17	0	1.7125	248974.252	215730.539	192002.477	248974.252	44899.4756	11898.7342	26.5	799093	0	0	3
690	17	0	1.725	252332.738	217238.795	193002.201	252332.738	45638.6745	11932.2112	26.1	801156	0	0	3
695	17	0	1.7375	255755.82	218807.636	194007.268	255755.82	46415.174	11973.2561	25.7	803428	0	0	3
700	17	0	1.75	259857.668	220453.896	194956.545	259857.668	47247.0606	12023.1875	25.4	805644	0	0	3
705	17	0	1.7625	264538.667	222193.449	195890.118	264538.667	48433.3629	12082.9925	24.9	807744	0	0	3
710	17	0	1.775	269624.44	224036.807	196906.024	269624.44	49113.6151	12153.1726	24.7	809710	0	0	3
715	17	0	1.7875	274855.207	225985.537	198024.257	274855.207	50136.2195	12233.5789	24.4	811528	0	0	3
720	18	0	1.8	279823.768	228030.524	199132.154	279823.768	51218.6043	12323.1176	24	813222	0	0	3
725	18	0	1.8125	284190.416	230156.981	200120.158	284190.416	52350.9528	12419.9781	23.7	815275	0	0	3
730	18	0	1.825	288164.289	232358.084	201021.375	288164.289	53985.8282	12522.935	23.1	817138	0	0	3
735	18	0	1.8375	291875.669	234629.442	201932.445	291875.669	54755.6116	12631.1276	23	818646	0	0	3
740	18	0	1.85	295322.057	236964.182	202984.546	295322.057	56018.4418	12743.6417	22.7	820146	0	0	3
745	18	0	1.8625	298464.924	239351.191	204129.409	298464.924	57311.3493	12859.1678	22.4	821425	0	0	3
750	18	0	1.875	301643.697	241789.048	205359.379	301643.697	58632.6669	12977.4923	22.1	822533	0	0	3
755	18	0	1.8875	304843.177	244276.143	206464.407	304843.177	60551.2734	13098.3808	21.6	823579	0	0	3
760	18	0	1.9	308389.536	246824.272	207550.07	308389.536	61389.6624	13223.2995	21.5	824672	0	0	3
765	19	0	1.9125	311868.413	249432.23	208816.7	311868.413	62840.4617	13349.0175	21.2	825850	0	0	3
770	19	0	1.925	315159.611	252090.803	210068.027	315159.611	64333.0026	13476.192	20.9	828076	0	0	3
775	19	0	1.9375	318555.906	254803	211369.251	318555.906	65872.3649	13604.7095	20.6	830518	0	0	3
780	19	0	1.95	321903.573	257566.358	212689.888	321903.573	68056.229	13734.2648	20.1	832697	0	0	3
785	19	0	1.9625	324825.297	260369.743	213985.74	324825.297	69078.9969	13866.1467	20	834389	0	0	3
790	19	0	1.975	327641.504	263211.137	215457.388	327641.504	70730.9218	13995.6119	19.7	835787	0	0	3
795	19	0	1.9875	330397.992	266084.652	217066.58	330397.992	72405.7763	14124.676	19.5	837018	0	0	3
800	19	0	2	333312.079	268990.79	218604.603	333312.079	74103.0472	14253.8591	19.2	838134	0	0	3
805	19	0	2.0125	336305.256	271933.306	220119.779	336305.256	75825.9387	14383.3864	18.9	839144	0	0	3
810	20	0	2.025	339717.404	274923.247	221681.528	339717.404	77585.6317	14513.9166	18.7	840285	0	0	3
815	20	0	2.0375	342927.528	277954.397	223249.443	342927.528	79374.9222	14645.1088	18.4	841549	0	0	3
820	20	0	2.05	346983.145	279638.025	223249.443	346983.145	81058.5502	14780.4196	18.2	843116	0	0	3
825	20	0	2.0625	351349.461	284209.189	226589.065	351349.461	83108.169	14916.1055	17.9	844540	0	0	3
830	20	0	2.075	355561.197	287433.492	228314.457	355561.197	85054.2398	15053.7834	17.6	845571	0	0	3
835	20	0	2.0875	359776.531	290720.044	230109.644	359776.531	87052.808	15193.1415	17.4	846130	0	0	3
840	20	0	2.1	364133.111	294070.631	231982.561	364133.111	89108.2864	15334.0516	17.2	846654	0	0	3
845	20	0	2.1125	368501.454	295886.017	231982.561	368501.454	90923.6723	15479.1576	17	847536	0	0	3
850	21	0	2.125	372226.585	300943.605	235568.021	372226.585	93354.9977	15622.792	16.7	848594	0	0	3
855	21	0	2.1375	375367.679	304438.596	236996.781	375367.679	95531.0032	15766.163	16.5	849634	0	0	3
860	21	0	2.15	377786.871	307958.348	238156.161	377786.871	97737.729	15908.0826	16.2	850737	0	0	3
865	21	0	2.1625	379966.967	311503.619	239633.683	379966.967	99965.6642	16048.3613	16	851845	0	0	3
870	21	0	2.175	382095.046	313225.361	239633.683	382095.046	101687.406	16189.0512	15.9	852950	0	0	3
875	21	0	2.1875	384234.964	318618.363	245480.602	384234.964	104336.924	16325.8876	15.6	853990	0	0	3
880	21	0	2.2	386153.362	322135.182	248974.252	386153.362	106404.643	16460.7374	15.4	854856	0	0	3
885	21	0	2.2125	387906.915	325608.498	252332.738	387906.915	108369.703	16593.9841	15.3	855675	0	0	3
890	21	0	2.225	389451.976	329036.479	255755.82	389451.976	110228.843	16725.3462	15.1	856421	0	0	3
895	22	0	2.2375	390916.822	330545.756	255755.82	390916.822	111738.12	16856.2739	15	857256	0	0	3
900	22	0	2.25	392348.693	335727.78	264538.667	392348.693	113534.331	16983.7994	14.9	858183	0	0	3
905	22	0	2.2625	393732.231	338957.619	269624.44	393732.231	114920.812	17109.4679	14.8	859071	0	0	3
910	22	0	2.275	395047.553	342093.197	274855.207	395047.553	116107.66	17233.1126	14.8	859945	0	0	3
915	22	0	2.2875	396301.217	345129.347	279823.768	396301.217	116477.449	17354.5537	14.8	860800	0	0	3
920	22	0	2.3	397373.818	346403.602	279823.768	397373.818	117550.05	17475.2064	14.8	861561	0	0	3
925	22	0	2.3125	398459.608	350924.828	288164.289	398459.608	110295.319	17592.1179	15.9	862278	0	0	3
930	22	0	2.325	399494.832	353708.092	291875.669	399494.832	107619.163	17707.0132	16.4	863038	0	0	3
935	22	0	2.3375	400332.174	356419.504	295322.057	400332.174	105010.117	17819.6576	16.9	863768	0	0	3
940	23	0	2.35	401149.698	359065.195	298464.924	401149.698	102684.774	17929.8901	17.4	864478	0	0	3
945	23	0	2.3625	401888.292	360109.661	298464.924	401888.292	103423.369	18039.1165	17.4	865185	0	0	3
950	23	0	2.375	402504.441	364172.298	304843.177	402504.441	97661.2646	18143.9587	18.5	865921	0	0	3
955	23	0	2.3875	403093.95	366628.567	308389.536	403093.95	94704.4145	18246.2152	19.2	867031	0	0	3
960	23	0	2.4	403583.038	369008.405	311868.413	403583.038	91714.6251	18345.8467	20	868058	0	0	3
965	23	0	2.4125	404035.197	371312.574	315159.611	404035.197	88875.586	18442.6337	20.7	868988	0	0	3
970	23	0	2.425	404608.315	372124.666	315159.611	404608.315	89448.7043	18538.4767	20.7	869801	0	0	3
975	23	0	2.4375	405308.605	375717.61	321903.573	405308.605	83405.032	18630.237	22.3	870526	0	0	3
980	23	0	2.45	406068.802	377821.74	324825.297	406068.802	81243.5045	18719.6904	23	871287	0	0	3
985	24	0	2.4625	406817.615	379871.548	327641.504	406817.615	79176.1108	18806.9134	23.7	871934	0	0	3
990	24	0	2.475	407465.612	381867.151	330397.992	407465.612	77067.62	18891.611	24.5	872596	0	0	3
995	24	0	2.4875	407926.064	382502.734	330397.992	407926.064	77528.0729	18975.4656	24.4	873243	0	0	3
1000	24	0	2.5	408427.241	385683.232	336305.256	408427.241	72121.9851	19054.615	26.4	873828	0	0	3
1005	24	0	2.5125	408888.11	387497.803	339717.404	408888.11	69170.7066	19131.1492	27.6	874422	0	0	3
1010	24	0	2.525	409329.126	389238.096	342927.528	409329.126	66401.5978	19205.0507	28.9	875024	0	0	3
1015	24	0	2.5375	409756.796	390908.828	346983.145	409756.796	62773.6502	19276.3601	30.7	875719	0	0	3
1020	24	0	2.55	410197.027	392489.175	351349.461	410197.027	58847.5662	19347.0518	32.8	876663	0	0	3
1025	25	0	2.5625	410657.678	393971.88	355561.197	410657.678	55096.4806	19413.1578	35.2	877657	0	0	3
1030	25	0	2.575	410994.708	395357.718	359776.531	410994.708	51218.1777	19476.5616	38	878490	0	0	3
1035	25	0	2.5875	411317.601	396646.245	364133.111	411317.601	47184.4898	19537.228	41.4	879170	0	0	3
1040	25	0	2.6	411627.008	397833.592	368501.454	411627.008	43125.5536	19595.1142	45.4	879757	0	0	3
1045	25	0	2.6125	411919.259	398919.037	372226.585	411919.259	39692.6742	19652.4428	49.5	880306	0	0	3
1050	25	0	2.625	412046.716	399914.541	375367.679	412046.716	36679.0378	19704.8994	53.7	880848	0	0	3
1055	25	0	2.6375	412317.502	400838.286	377786.871	412317.502	34530.6309	19755.2293	57.2	881363	0	0	3
1060	25	0	2.65	412665.722	401710.258	379966.967	412665.722	32698.7551	19803.8748	60.5	881864	0	0	3
1065	25	0	2.6625	413016.846	402536.505	382095.046	413016.846	30921.7994	19850.5184	64.1	882374	0	0	3
1070	26	0	2.675	413366.422	403318.289	384234.964	413366.422	29131.4581	19896.8571	68.3	882891	0	0	3
1075	26	0	2.6875	413713.856	404055.261	386153.362	413713.856	27560.494	19936.3988	72.3	883402	0	0	3
1080	26	0	2.7	414098.654	404753.894	387906.915	414098.654	26191.7387	19971.9302	76.2	883909	0	0	3
1085	26	0	2.7125	414544.724	405419.839	389451.976	414544.724	25092.7479	20003.754	79.7	884444	0	0	3
1090	26	0	2.725	414969.459	406057.776	390916.822	414969.459	24052.6372	20031.8576	83.2	884991	0	0	3
1095	26	0	2.7375	415520.249	406672.862	392348.693	415520.249	23171.556	20060.1512	86.5	885522	0	0	3
1100	26	0	2.75	416303.319	407271.727	393732.231	416303.319	22571.0876	20079.4694	88.9	886015	0	0	3
1105	26	0	2.7625	417182.502	407857.984	395047.553	417182.502	22134.9485	20094.0384	90.7	886469	0	0	3
1110	27	0	2.775	418004.986	408431.92	396301.217	418004.986	21703.769	20103.7457	92.6	886900	0	0	3
1115	27	0	2.7875	418918.446	408997.35	397373.818	418918.446	21544.6284	20109.0635	93.3	887338	0	0	3
1120	27	0	2.8	420041.035	409564.031	398459.608	420041.035	21581.4266	20115.4769	93.2	887809	0	0	3
1125	27	0	2.8125	421093.192	410129.87	399494.832	421093.192	21598.3597	20114.2622	93.1	888293	0	0	3
1130	27	0	2.825	422679.058	410709.476	400332.174	422679.058	22346.8838	20110.8803	89.9	888761	0	0	3
1135	27	0	2.8375	424170	411305.422	401149.698	424170	23020.3023	20105.5491	87.3	889242	0	0	3
1140	27	0	2.85	425715.752	411919.573	401888.292	425715.752	23827.4599	20098.6712	84.3	889643	0	0	3
1145	27	0	2.8625	427475.943	412559.264	402504.441	427475.943	24971.5011	20093.6576	80.4	890048	0	0	3
1150	27	0	2.875	429638.961	413237.627	403093.95	429638.961	26545.0109	20084.4957	75.6	890588	0	0	3
1155	28	0	2.8875	431674.967	413952.153	403583.038	431674.967	28091.9294	20073.9548	71.4	891029	0	0	3
1160	28	0	2.9	433777.352	414707.011	404035.197	433777.352	29742.1554	20062.1942	67.4	891453	0	0	3
1165	28	0	2.9125	435646.017	415497.281	404608.315	435646.017	31037.7016	20049.1926	64.5	891834	0	0	3
1170	28	0	2.925	437005.576	416307.213	405308.605	437005.576	31696.9702	20037.6842	63.2	892193	0	0	3
1175	28	0	2.9375	437952.569	417123.312	406068.802	437952.569	31883.7678	20020.7143	62.7	892559	0	0	3
1180	28	0	2.95	438839.058	417942.568	406817.615	438839.058	32021.443	20002.005	62.4	892945	0	0	3
1185	28	0	2.9625	439378.595	418756.593	407465.612	439378.595	31912.983	19981.3589	62.6	893290	0	0	3
1190	28	0	2.975	439859.67	419566.444	407926.064	439859.67	31933.6055	19958.8139	62.5	893650	0	0	3
1195	28	0	2.9875	440212.897	420373.615	408427.241	440212.897	31785.6557	19936.8857	62.7	894031	0	0	3
1200	29	0	3	440492.837	421175.255	408888.11	440492.837	31604.7264	19909.9561	62.9	894402	0	0	3
1205	29	0	3.0125	440726.139	421971.206	409329.126	440726.139	31397.0134	19880.3993	63.3	894763	0	0	3
1210	29	0	3.025	440923.799	422761.072	409756.796	440923.799	31167.0029	19848.418	63.6	895117	0	0	3
1215	29	0	3.0375	441093.309	423544.485	410197.027	441093.309	30896.2816	19813.253	64.1	895470	0	0	3
1220	29	0	3.05	441248.991	424320.784	410657.678	441248.991	30348.9039	19774.6657	65.1	895817	0	0	3
1225	29	0	3.0625	441401.955	425089.391	410994.708	441401.955	29731.6731	19732.8563	66.3	896156	0	0	3
1230	29	0	3.075	441547.639	425853.214	411317.601	441547.639	29206.9696	19687.8732	67.4	896489	0	0	3
1235	29	0	3.0875	441680.174	426612.279	411627.008	441680.174	28778.6865	19639.6348	68.2	896821	0	0	3
1240	29	0	3.1	441802.828	427366.674	411919.259	441802.828	28447.6369	19588.1799	68.8	897149	0	0	3
1245	30	0	3.1125	441920.986	428116.718	412046.716	441920.986	28202.1768	19534.1324	69.2	897472	0	0	3
1250	30	0	3.125	442037.984	428866.499	412317.502	442037.984	28028.2129	19478.0525	69.4	897791	0	0	3
1255	30	0	3.1375	442157.449	429612.498	412665.722	442157.449	27902.2403	19420.6112	69.6	898106	0	0	3
1260	30	0	3.15	442283.284	430352.937	413016.846	442283.284	27816.4324	19362.0463	69.6	898417	0	0	3
1265	30	0	3.1625	442418.116	431087.969	413366.422	442418.116	27769.6797	19302.4302	69.5	898724	0	0	3
1270	30	0	3.175	442562.174	431817.862	413713.856	442562.174	27762.6012	19241.7788	69.3	899027	0	0	3
1275	30	0	3.1875	442714.332	432542.874	414098.654	442714.332	27788.9808	19180.3066	69	899325	0	0	3
1280	30	0	3.2	442874.328	433262.266	414544.724	442874.328	27842.4275	19118.1748	68.6	899620	0	0	3
1285	31	0	3.2125	443165.93	433977.796	414969.459	443165.93	27920.0205	19055.6828	68.2	899910	0	0	3
1290	31	0	3.225	443342.872	434687.132	415520.249	443342.872	27822.6232	18992.8076	68.2	900197	0	0	3
1295	31	0	3.2375	443528.708	435387.343	416303.319	443528.708	27225.3895	18929.5909	69.5	900480	0	0	3
1300	31	0	3.25	443722.17	436072.814	417182.502	443722.17	26539.6682	18866.0847	71	900760	0	0	3
