Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	0.295570623	0.295570623	0.295570623	0.295570623	0	0	0	0.3	0	0	3
5	0	0	0.0125	0.283619671	0.289595147	0.283619671	0.295570623	0.00597547648	0	0	0.300015	0	0	3
10	0	0	0.025	0.273120979	0.284103758	0.273120979	0.295570623	0.0114668658	0	0	0.300016	0	0	3
15	0	0	0.0375	0.26441924	0.279182628	0.26441924	0.295570623	0.0163879953	0	0	0.300388	0	0	3
20	0	0	0.05	0.256806899	0.274707482	0.256806899	0.295570623	0.0208631412	0	0	0.301037	0	0	3
25	0	0	0.0625	0.25020754	0.270624159	0.25020754	0.295570623	0.024946465	0	0	0.301509	0	0	3
30	1	0	0.075	0.244469008	0.266887708	0.244469008	0.295570623	0.0286829151	0	0	0.301708	0	0	3
35	1	0	0.0875	0.239440031	0.263456749	0.239440031	0.295570623	0.0321138747	0	0	0.302348	0	0	3
40	1	0	0.1	0.235021772	0.260297307	0.235021772	0.295570623	0.0352733166	0	0	0.302945	0	0	3
45	1	0	0.1125	0.231127934	0.25738037	0.231127934	0.295570623	0.0381902538	0	0	0.302689	0	0	3
50	1	0	0.125	0.227554727	0.254668948	0.227554727	0.295570623	0.0409016759	0	0	0.302424	0	0	3
55	1	0	0.1375	0.224201521	0.252129995	0.224201521	0.295570623	0.0434406282	0	0	0.303108	0	0	3
60	1	0	0.15	0.220984296	0.249734172	0.220984296	0.295570623	0.0458364512	0	0	0.303494	0	0	3
65	1	0	0.1625	0.217903544	0.247460556	0.217903544	0.295570623	0.0481100675	0	0	0.303538	0	0	3
70	2	0	0.175	0.214921675	0.245291297	0.214921675	0.295570623	0.0502793262	0	0	0.303226	0	0	3
75	2	0	0.1875	0.212051137	0.243213787	0.212051137	0.295570623	0.0523568363	0	0	0.302583	0	0	3
80	2	0	0.2	0.209299687	0.24121884	0.209299687	0.295570623	0.0543517834	0	0	0.301944	0	0	3
85	2	0	0.2125	0.206662732	0.239299056	0.206662732	0.295570623	0.0562715671	0	0	0.301415	0	0	3
90	2	0	0.225	0.204114111	0.237447217	0.204114111	0.295570623	0.0581234063	0	0	0.30113	0	0	3
95	2	0	0.2375	0.201611427	0.235655428	0.201611427	0.295570623	0.0599151958	0	0	0.301189	0	0	3
100	2	0	0.25	0.199112056	0.233915267	0.199112056	0.295570623	0.0616553564	0	0	0.301423	0	0	3
105	2	0	0.2625	0.196582776	0.232218336	0.196582776	0.295570623	0.0633522878	0	0	0.301724	0	0	3
110	3	0	0.275	0.193999575	0.23055665	0.193999575	0.295570623	0.0650139731	0	0	0.302077	0	0	3
115	3	0	0.2875	0.191343683	0.228922777	0.191343683	0.295570623	0.0666478467	0	0	0.302469	0	0	3
120	3	0	0.3	0.188601226	0.227309915	0.188601226	0.295570623	0.0682607087	0	0	0.302893	0	0	3
125	3	0	0.3125	0.185752384	0.225711548	0.185752384	0.295570623	0.0698590753	0	0	0.303338	0	0	3
130	3	0	0.325	0.182770654	0.224121145	0.182770654	0.295570623	0.0714494788	0	0	0.303776	0	0	3
135	3	0	0.3375	0.179632491	0.222532264	0.179632491	0.295570623	0.0730383593	0	0	0.304125	0	0	3
140	3	0	0.35	0.176301304	0.220938093	0.176301304	0.295570623	0.0746325303	0	0	0.304352	0	0	3
145	3	0	0.3625	0.172737035	0.219331391	0.172737035	0.295570623	0.0762392323	0	0	0.304432	0	0	3
150	4	0	0.375	0.168888666	0.217704206	0.168888666	0.295570623	0.077866417	0	0	0.304324	0	0	3
155	4	0	0.3875	0.16470924	0.216048114	0.16470924	0.295570623	0.0795225097	0	0	0.303977	0	0	3
160	4	0	0.4	0.160178165	0.214355085	0.160178165	0.295570623	0.0812155385	0	0	0.303328	0	0	3
165	4	0	0.4125	0.15532652	0.212618951	0.15532652	0.295570623	0.0829516727	0	0	0.302317	0	0	3
170	4	0	0.425	0.150235958	0.21083658	0.150235958	0.295570623	0.0847340439	0	0	0.300896	0	0	3
175	4	0	0.4375	0.145023842	0.209008448	0.145023842	0.295570623	0.0865621756	0	0	0.300528	0	0	3
180	4	0	0.45	0.139786864	0.207137594	0.139786864	0.295570623	0.0884330292	0	0	0.300754	0	0	3
185	4	0	0.4625	0.134606992	0.205228894	0.134606992	0.295570623	0.0903417292	0	0	0.30103	0	0	3
190	5	0	0.475	0.129564303	0.203288777	0.129564303	0.295570623	0.092281847	0	0	0.301366	0	0	3
195	5	0	0.4875	0.124697221	0.201323988	0.124697221	0.295570623	0.0942466358	0	0	0.301775	0	0	3
200	5	0	0.5	0.120014268	0.199340824	0.120014268	0.295570623	0.0962297997	0	0	0.302255	0	0	3
205	5	0	0.5125	0.115506941	0.194949027	0.115506941	0.283619671	0.0946461204	0	0	0.302798	0	0	3
210	5	0	0.525	0.11115784	0.188683182	0.11115784	0.26441924	0.0904994461	0	0	0.303389	0	0	3
215	5	0	0.5375	0.106960766	0.18474672	0.106960766	0.256806899	0.0899607621	0	0	0.304005	0	0	3
220	5	0	0.55	0.102925377	0.180899682	0.102925377	0.25020754	0.0897244763	0	0	0.304607	0	0	3
225	5	0	0.5625	0.0990561325	0.177120897	0.0990561325	0.244469008	0.0897668114	0	0	0.305071	0	0	3
230	6	0	0.575	0.0953648758	0.175126848	0.0953648758	0.244469008	0.0917608607	0	0	0.305303	0	0	3
235	6	0	0.5875	0.0918699995	0.169704043	0.0918699995	0.235021772	0.090593264	0	0	0.305224	0	0	3
