Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0025	0.536939357	0.536939357	0.536939357	0.536939357	0	0	0	0.47	0	0	3
5	0	0	0.0125	0.555662516	0.546300936	0.536939357	0.555662516	0.00936157981	0	0	0.470023	0	0	3
10	0	0	0.025	0.572110466	0.554904113	0.536939357	0.572110466	0.0179647564	0	0	0.470024	0	0	3
15	0	0	0.0375	0.585743191	0.562613883	0.536939357	0.585743191	0.025674526	0	0	0.470608	0	0	3
20	0	0	0.05	0.597669192	0.569624944	0.536939357	0.597669192	0.0326855879	0	0	0.471625	0	0	3
25	0	0	0.0625	0.608008188	0.576022152	0.536939357	0.608008188	0.0390827951	0	0	0.472365	0	0	3
30	1	0	0.075	0.616998554	0.581875923	0.536939357	0.616998554	0.0449365669	0	0	0.472675	0	0	3
35	1	0	0.0875	0.624877284	0.587251094	0.536939357	0.624877284	0.050311737	0	0	0.473678	0	0	3
40	1	0	0.1	0.631799224	0.592200886	0.536939357	0.631799224	0.0552615293	0	0	0.474614	0	0	3
45	1	0	0.1125	0.637899569	0.596770754	0.536939357	0.637899569	0.0598313977	0	0	0.474213	0	0	3
50	1	0	0.125	0.643497595	0.601018649	0.536939357	0.643497595	0.0640792923	0	0	0.473798	0	0	3
55	1	0	0.1375	0.648750951	0.604996341	0.536939357	0.648750951	0.0680569841	0	0	0.474869	0	0	3
60	1	0	0.15	0.65379127	0.608749797	0.536939357	0.65379127	0.0718104402	0	0	0.475475	0	0	3
65	1	0	0.1625	0.658617782	0.612311796	0.536939357	0.658617782	0.0753724391	0	0	0.475542	0	0	3
70	2	0	0.175	0.663289375	0.615710301	0.536939357	0.663289375	0.0787709444	0	0	0.475055	0	0	3
75	2	0	0.1875	0.667786552	0.618965067	0.536939357	0.667786552	0.0820257102	0	0	0.474047	0	0	3
80	2	0	0.2	0.672097158	0.622090484	0.536939357	0.672097158	0.0851511273	0	0	0.473046	0	0	3
85	2	0	0.2125	0.676228386	0.625098145	0.536939357	0.676228386	0.0881587885	0	0	0.472217	0	0	3
90	2	0	0.225	0.680221226	0.62799936	0.536939357	0.680221226	0.0910600033	0	0	0.47177	0	0	3
95	2	0	0.2375	0.684142098	0.630806497	0.536939357	0.684142098	0.0938671402	0	0	0.471863	0	0	3
