Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
245	6	0	0.6125	-0.329477151	-0.21430168	-0.345296915	-6.85544024e-008	0.214301673	0	0	0	0	0	3
250	6	0	0.625	-0.324774641	-0.222421045	-0.345296915	-4.8434088e-007	0.222420998	0	0	0	0	0	3
255	6	0	0.6375	-0.319122732	-0.224779622	-0.345296915	-4.8434088e-007	0.224779576	0	0	0	0	0	3
260	6	0	0.65	-0.315491435	-0.238286318	-0.345296915	-1.29102502e-005	0.238285161	0	0	0	0	0	3
265	6	0	0.6625	-0.312579991	-0.246100495	-0.345296915	-5.23994619e-005	0.246095922	0	0	0	0	0	3
270	6	0	0.675	-0.308325903	-0.253807333	-0.345296915	-0.00018553159	0.25379145	0	0	0	0	0	3
275	7	0	0.6875	-0.302699884	-0.261370192	-0.345296915	-0.000580304395	0.261321107	0	0	0	0	0	3
280	7	0	0.7	-0.296908613	-0.262236983	-0.345296915	-0.000580304395	0.262187898	0	0	0	0	0	3
285	7	0	0.7125	-0.292359392	-0.276046827	-0.345296915	-0.0040974325	0.27570187	0	0	0	0	0	3
290	7	0	0.725	-0.289356038	-0.283178292	-0.345296915	-0.00939029807	0.282381068	0	0	0	0	0	3
295	7	0	0.7375	-0.287493055	-0.290130861	-0.345296915	-0.0200341993	0.28841759	0	0	0	0	0	3
300	7	0	0.75	-0.286370009	-0.296789256	-0.345296915	-0.0390326455	0.29337965	0	0	0	0	0	3
305	7	0	0.7625	-0.285426237	-0.296512109	-0.345296915	-0.0390326455	0.29337965	0	0	0	0	0	3
310	8	0	0.775	-0.284921836	-0.308364895	-0.345296915	-0.108808166	0.236488749	0	0	0	0	0	3
315	8	0	0.7875	-0.28514701	-0.312773366	-0.345296915	-0.158461854	0.186835061	0	0	0	0	0	3
320	8	0	0.8	-0.286544321	-0.315975427	-0.345296915	-0.209289476	0.136007438	0	0	0	0	0	3
325	8	0	0.8125	-0.289171923	-0.317972489	-0.345296915	-0.253750688	0.0915462263	0	0	0	0	0	3
330	8	0	0.825	-0.293147174	-0.317366993	-0.345296915	-0.253750688	0.0915462263	0	0	0	0	0	3
335	8	0	0.8375	-0.298339458	-0.319199174	-0.345296915	-0.284921836	0.0603750787	0	0	0	0	0	3
340	8	0	0.85	-0.304487679	-0.318966409	-0.345296915	-0.284921836	0.0603750787	0	0	0	0	0	3
345	8	0	0.8625	-0.311518163	-0.318491281	-0.345296915	-0.284921836	0.0603750787	0	0	0	0	0	3
350	8	0	0.875	-0.31941124	-0.317968204	-0.345296915	-0.284921836	0.0603750787	0	0	0	0	0	3
355	9	0	0.8875	-0.327582022	-0.318202687	-0.345296915	-0.284921836	0.0603750787	0	0	0	0	0	3
360	9	0	0.9	-0.335807231	-0.317308008	-0.344248063	-0.284921836	0.0593262267	0	0	0	0	0	3
365	9	0	0.9125	-0.343895281	-0.317299188	-0.343895281	-0.284921836	0.0589734448	0	0	0	0	0	3
370	9	0	0.925	-0.351758816	-0.317531689	-0.351758816	-0.284921836	0.06683698	0	0	0	0	0	3
375	9	0	0.9375	-0.359709494	-0.318005136	-0.359709494	-0.284921836	0.0747876585	0	0	0	0	0	3
380	9	0	0.95	-0.367668743	-0.319216444	-0.367668743	-0.284921836	0.082746907	0	0	0	0	0	3
385	9	0	0.9625	-0.37536405	-0.319616285	-0.37536405	-0.284921836	0.0904422146	0	0	0	0	0	3
390	9	0	0.975	-0.382654513	-0.320694894	-0.382654513	-0.284921836	0.097732677	0	0	0	0	0	3
395	10	0	0.9875	-0.389524525	-0.321928818	-0.389524525	-0.284921836	0.104602689	0	0	0	0	0	3
400	10	0	1	-0.395979189	-0.3233208	-0.395979189	-0.284921836	0.111057353	0.0593968783	53.4	0	0	0	3
405	10	0	1.0125	-0.401564019	-0.324867997	-0.401564019	-0.284921836	0.116642183	0.0602346029	51.6	0	0	0	3
410	10	0	1.025	-0.406347085	-0.326855292	-0.406347085	-0.284921836	0.121425249	0.0605933328	49.9	0	0	0	3
415	10	0	1.0375	-0.410706643	-0.328411385	-0.410706643	-0.284921836	0.125784807	0.0609308874	48.4	0	0	0	3
420	10	0	1.05	-0.414525467	-0.330389812	-0.414525467	-0.284921836	0.129603631	0.0612428705	47.2	0	0	0	3
425	10	0	1.0625	-0.417814488	-0.332497359	-0.417814488	-0.284921836	0.132892652	0.0615287311	46.2	0	0	0	3
430	10	0	1.075	-0.420921179	-0.334709978	-0.420921179	-0.284921836	0.135999343	0.061796972	45.4	0	0	0	3
435	11	0	1.0875	-0.423849783	-0.336884119	-0.423849783	-0.284921836	0.138927948	0.0620513285	44.6	0	0	0	3
440	11	0	1.1	-0.427216376	-0.33939907	-0.427216376	-0.284921836	0.125097389	0.0623052194	49.8	0	0	0	3
445	11	0	1.1125	-0.430681307	-0.341929174	-0.430681307	-0.284921836	0.119508129	0.0625604379	52.3	0	0	0	3
450	11	0	1.125	-0.434140638	-0.344663324	-0.434140638	-0.284921836	0.119883701	0.0628164964	52.3	0	0	0	3
455	11	0	1.1375	-0.437998951	-0.347635229	-0.437998951	-0.284921836	0.109348911	0.0630785815	57.6	0	0	0	3
460	11	0	1.15	-0.442338077	-0.349945055	-0.442338077	-0.284921836	0.111658736	0.0633512249	56.7	0	0	0	3
465	11	0	1.1625	-0.446755231	-0.354160776	-0.446755231	-0.284921836	0.100353443	0.0636323171	63.4	0	0	0	3
470	11	0	1.175	-0.450731208	-0.357720909	-0.450731208	-0.284921836	0.0963507169	0.0639144267	66.3	0	0	0	3
475	11	0	1.1875	-0.454105578	-0.361506051	-0.454105578	-0.284921836	0.0992690684	0.0641887177	64.6	0	0	0	3
480	12	0	1.2	-0.45667436	-0.365500195	-0.45667436	-0.284921836	0.0894533681	0.0644430358	72	0	0	0	3
485	12	0	1.2125	-0.458376403	-0.367765468	-0.458376403	-0.284921836	0.0917186415	0.0646824521	70.5	0	0	0	3
490	12	0	1.225	-0.459633108	-0.373907547	-0.459633108	-0.284921836	0.0837766861	0.064841006	77.3	0	0	0	3
495	12	0	1.2375	-0.460750188	-0.378238975	-0.460750188	-0.284921836	0.081726866	0.0649076582	79.4	0	0	0	3
500	12	0	1.25	-0.461897106	-0.382627153	-0.461897106	-0.284921836	0.0861150434	0.0648337588	75.2	0	0	0	3
505	12	0	1.2625	-0.462982583	-0.387066061	-0.462982583	-0.284921836	0.0787011665	0.0645656705	82	0	0	0	3
510	12	0	1.275	-0.464136578	-0.38894583	-0.464136578	-0.284921836	0.0805809352	0.0643298221	79.8	0	0	0	3
515	12	0	1.2875	-0.465783048	-0.396062331	-0.465783048	-0.286544321	0.0800869033	0.0635371419	79.3	0	0	0	3
520	13	0	1.3	-0.468213011	-0.400604048	-0.468213011	-0.289171923	0.0833048596	0.0625080331	75	0	0	0	3
525	13	0	1.3125	-0.471062677	-0.405151317	-0.471062677	-0.293147174	0.0878521284	0.0613115837	69.7	0	0	0	3
530	13	0	1.325	-0.473802467	-0.409667699	-0.473802467	-0.298339458	0.0923685107	0.0600431418	65	0	0	0	3
535	13	0	1.3375	-0.476209918	-0.41129068	-0.476209918	-0.298339458	0.0939914917	0.0593968783	63.1	0	0	0	3
540	13	0	1.35	-0.478411785	-0.418462563	-0.478411785	-0.311518163	0.101163375	0.0593968783	58.7	0	0	0	3
545	13	0	1.3625	-0.480684359	-0.422691718	-0.480684359	-0.31941124	0.10539253	0.0593968783	56.3	0	0	0	3
550	13	0	1.375	-0.483049641	-0.426782678	-0.483049641	-0.327582022	0.10948349	0.0593968783	54.2	0	0	0	3
555	13	0	1.3875	-0.485439784	-0.430729122	-0.485439784	-0.335807231	0.113429934	0.0593968783	52.3	0	0	0	3
560	13	0	1.4	-0.487659198	-0.432117661	-0.487659198	-0.335807231	0.114818472	0.0593968783	51.7	0	0	0	3
565	14	0	1.4125	-0.489699079	-0.438170516	-0.489699079	-0.351758816	0.120638827	0.0593968783	49.2	0	0	0	3
570	14	0	1.425	-0.49205587	-0.441677943	-0.49205587	-0.359709494	0.123672806	0.0593968783	48	0	0	0	3
575	14	0	1.4375	-0.494407181	-0.445045385	-0.494407181	-0.367668743	0.125828941	0.0593968783	47.2	0	0	0	3
580	14	0	1.45	-0.496916553	-0.44827658	-0.496916553	-0.37536405	0.121552502	0.0593968783	48.8	0	0	0	3
585	14	0	1.4625	-0.499363996	-0.449522615	-0.499363996	-0.37536405	0.123999946	0.0593968783	47.9	0	0	0	3
590	14	0	1.475	-0.501299806	-0.454342711	-0.501299806	-0.389524525	0.111775281	0.0593968783	53.1	0	0	0	3
595	14	0	1.4875	-0.50329596	-0.457186997	-0.50329596	-0.395979189	0.107316772	0.0593968783	55.3	0	0	0	3
600	14	0	1.5	-0.505454228	-0.459923873	-0.505454228	-0.401564019	0.103890209	0.0593968783	57.1	0	0	0	3
605	15	0	1.5125	-0.507172198	-0.462564077	-0.507172198	-0.406347085	0.100825113	0.0593968783	58.9	0	0	0	3
610	15	0	1.525	-0.508522069	-0.465118452	-0.508522069	-0.410706643	0.0978154261	0.0593968783	60.7	0	0	0	3
615	15	0	1.5375	-0.509690631	-0.467593052	-0.509690631	-0.414525467	0.0951651642	0.0593968783	62.4	0	0	0	3
620	15	0	1.55	-0.510588828	-0.469994636	-0.510588828	-0.417814488	0.0927743401	0.0593968783	64	0	0	0	3
625	15	0	1.5625	-0.51152958	-0.472337513	-0.51152958	-0.420921179	0.0906084006	0.0593968783	65.5	0	0	0	3
630	15	0	1.575	-0.512685342	-0.474631617	-0.512685342	-0.423849783	0.0888355588	0.0593968783	66.8	0	0	0	3
635	15	0	1.5875	-0.514076665	-0.476887289	-0.514076665	-0.427216376	0.0868602889	0.0593968783	68.3	0	0	0	3
640	15	0	1.6	-0.516186041	-0.479111531	-0.516186041	-0.430681307	0.0855047341	0.0593968783	69.4	0	0	0	3
645	16	0	1.6125	-0.519629945	-0.481335247	-0.519629945	-0.434140638	0.0854893075	0.0593968783	69.4	0	0	0	3
650	16	0	1.625	-0.52473252	-0.483600044	-0.52473252	-0.437998951	0.0867335691	0.0593968783	68.4	0	0	0	3
655	16	0	1.6375	-0.531799236	-0.485945051	-0.531799236	-0.442338077	0.0894611584	0.0593968783	66.3	0	0	0	3
660	16	0	1.65	-0.540253895	-0.488392946	-0.540253895	-0.446755231	0.0934986641	0.0593968783	63.5	0	0	0	3
665	16	0	1.6625	-0.54885083	-0.490945336	-0.54885083	-0.450731208	0.098119622	0.0593968783	60.5	0	0	0	3
670	16	0	1.675	-0.555940161	-0.49357556	-0.555940161	-0.454105578	0.101834583	0.0593968783	58.3	0	0	0	3
675	16	0	1.6875	-0.561646641	-0.496264087	-0.561646641	-0.45667436	0.104972282	0.0593968783	56.5	0	0	0	3
680	16	0	1.7	-0.565833028	-0.498993053	-0.565833028	-0.458376403	0.107456625	0.0593968783	55.2	0	0	0	3
685	17	0	1.7125	-0.567374166	-0.501717997	-0.567374166	-0.459633108	0.107741058	0.0593968783	55.1	0	0	0	3
690	17	0	1.725	-0.566352108	-0.504385972	-0.567374166	-0.460750188	0.106623978	0.0593968783	55.7	0	0	0	3
695	17	0	1.7375	-0.564116666	-0.506970134	-0.567374166	-0.461897106	0.105477061	0.0593968783	56.3	0	0	0	3
700	17	0	1.75	-0.562523002	-0.509485782	-0.567374166	-0.462982583	0.104391584	0.0593968783	56.8	0	0	0	3
705	17	0	1.7625	-0.56183349	-0.511957055	-0.567374166	-0.464136578	0.103237589	0.0593968783	57.5	0	0	0	3
710	17	0	1.775	-0.562066495	-0.514405302	-0.567374166	-0.465783048	0.101591119	0.0593968783	58.4	0	0	0	3
715	17	0	1.7875	-0.562859679	-0.516832218	-0.567374166	-0.468213011	0.0991611553	0.0593968783	59.8	0	0	0	3
720	18	0	1.8	-0.56295418	-0.519200747	-0.567374166	-0.471062677	0.0963114898	0.0593968783	61.6	0	0	0	3
725	18	0	1.8125	-0.561235768	-0.521455075	-0.567374166	-0.473802467	0.0935716994	0.0593968783	63.4	0	0	0	3
730	18	0	1.825	-0.55814034	-0.523563522	-0.567374166	-0.476209918	0.0911642481	0.0593968783	65.1	0	0	0	3
735	18	0	1.8375	-0.556187149	-0.525562952	-0.567374166	-0.478411785	0.0889623816	0.0593968783	66.7	0	0	0	3
740	18	0	1.85	-0.557834704	-0.527548525	-0.567374166	-0.480684359	0.0866898075	0.0593968783	68.5	0	0	0	3
745	18	0	1.8625	-0.561031502	-0.529557204	-0.567374166	-0.483049641	0.0843245259	0.0593968783	70.4	0	0	0	3
